code,l1,l2,desc,l1_desc,l2_desc
00A05,00,00Axx,Mathematics in general,General and overarching topics; collections,General and miscellaneous specific topics
00A06,00,00Axx,"Mathematics for nonmathematicians (engineering, social sciences, etc.)",General and overarching topics; collections,General and miscellaneous specific topics
00A07,00,00Axx,"Problem books {For open problems, see 00A27}",General and overarching topics; collections,General and miscellaneous specific topics
00A08,00,00Axx,Recreational mathematics,General and overarching topics; collections,General and miscellaneous specific topics
00A09,00,00Axx,Popularization of mathematics,General and overarching topics; collections,General and miscellaneous specific topics
00A15,00,00Axx,Bibliographies for mathematics in general [See also 01A70 and the classification number –00 in the other,General and overarching topics; collections,General and miscellaneous specific topics
00A17,00,00Axx,External book reviews,General and overarching topics; collections,General and miscellaneous specific topics
00A20,00,00Axx,Dictionaries and other general reference works [See also the classification number –00 in the other sections],General and overarching topics; collections,General and miscellaneous specific topics
00A22,00,00Axx,Formularies,General and overarching topics; collections,General and miscellaneous specific topics
00A27,00,00Axx,Lists of open problems,General and overarching topics; collections,General and miscellaneous specific topics
00A30,00,00Axx,Philosophy of mathematics [See also 03A05],General and overarching topics; collections,General and miscellaneous specific topics
00A35,00,00Axx,"Methodology of mathematics {For mathematics education, see 97-XX}",General and overarching topics; collections,General and miscellaneous specific topics
00A64,00,00Axx,Mathematics and literature,General and overarching topics; collections,General and miscellaneous specific topics
00A65,00,00Axx,Mathematics and music,General and overarching topics; collections,General and miscellaneous specific topics
00A66,00,00Axx,Mathematics and visual arts,General and overarching topics; collections,General and miscellaneous specific topics
00A67,00,00Axx,Mathematics and architecture,General and overarching topics; collections,General and miscellaneous specific topics
00A69,00,00Axx,"General applied mathematics {For physics, see 00A79 and Sections 70 through 86}",General and overarching topics; collections,General and miscellaneous specific topics
00A71,00,00Axx,General theory of mathematical modeling,General and overarching topics; collections,General and miscellaneous specific topics
00A72,00,00Axx,General theory of simulation,General and overarching topics; collections,General and miscellaneous specific topics
00A79,00,00Axx,Physics [Use more specific entries from Sections 70 through 86 when possible],General and overarching topics; collections,General and miscellaneous specific topics
00A99,00,00Axx,"None of the above, but in this section",General and overarching topics; collections,General and miscellaneous specific topics
00B05,00,00Bxx,Collections of abstracts of lectures,General and overarching topics; collections,Conference proceedings and collections of articles
00B10,00,00Bxx,Collections of articles of general interest,General and overarching topics; collections,Conference proceedings and collections of articles
00B15,00,00Bxx,Collections of articles of miscellaneous specific interest,General and overarching topics; collections,Conference proceedings and collections of articles
00B20,00,00Bxx,Proceedings of conferences of general interest,General and overarching topics; collections,Conference proceedings and collections of articles
00B25,00,00Bxx,Proceedings of conferences of miscellaneous specific interest,General and overarching topics; collections,Conference proceedings and collections of articles
00B30,00,00Bxx,Festschriften,General and overarching topics; collections,Conference proceedings and collections of articles
00B50,00,00Bxx,Collections of translated articles of general interest,General and overarching topics; collections,Conference proceedings and collections of articles
00B55,00,00Bxx,Collections of translated articles of miscellaneous specific interest,General and overarching topics; collections,Conference proceedings and collections of articles
00B60,00,00Bxx,Collections of reprinted articles [See also 01A75],General and overarching topics; collections,Conference proceedings and collections of articles
00B99,00,00Bxx,"None of the above, but in this section",General and overarching topics; collections,Conference proceedings and collections of articles
01A05,01,01Axx,"General histories, source books",History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A07,01,01Axx,Ethnomathematics (general),History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A10,01,01Axx,History of mathematics in Paleolithic and Neolithic times,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A11,01,01Axx,"History of mathematics of the indigenous cultures of Africa, Asia, and Oceania",History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A12,01,01Axx,History of mathematics of the indigenous cultures of the Americas,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A15,01,01Axx,"History of mathematics of the indigenous cultures of Europe (pre-Greek, etc.)",History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A16,01,01Axx,History of Egyptian mathematics,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A17,01,01Axx,History of Babylonian mathematics,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A20,01,01Axx,History of Greek and Roman mathematics,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A25,01,01Axx,History of Chinese mathematics,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A27,01,01Axx,History of Japanese mathematics,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A29,01,01Axx,"History of East and Southeast Asian mathematics (non-Chinese, non-Japanese)",History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A30,01,01Axx,History of mathematics in the Golden Age of Islam,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A32,01,01Axx,History of Indian mathematics,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A35,01,01Axx,History of mathematics in Late Antiquity and medieval Europe,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A40,01,01Axx,"History of mathematics in the 15th and 16th centuries, Renaissance",History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A45,01,01Axx,History of mathematics in the 17th century,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A50,01,01Axx,History of mathematics in the 18th century,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A55,01,01Axx,History of mathematics in the 19th century,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A60,01,01Axx,History of mathematics in the 20th century,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A61,01,01Axx,History of mathematics in the 21st century,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A65,01,01Axx,Development of contemporary mathematics,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A67,01,01Axx,Future perspectives in mathematics,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A70,01,01Axx,"Biographies, obituaries, personalia, bibliographies",History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A72,01,01Axx,Schools of mathematics,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A73,01,01Axx,History of mathematics at specific universities,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A74,01,01Axx,History of mathematics at institutions and academies (non-university),History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A75,01,01Axx,Collected or selected works; reprintings or translations of classics [See also 00B60],History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A80,01,01Axx,Sociology (and profession) of mathematics,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A85,01,01Axx,Historiography,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A90,01,01Axx,Bibliographic studies,History and biography [See also the classification number –03 in,History of mathematics and mathematicians
01A99,01,01Axx,"None of the above, but in this section",History and biography [See also the classification number –03 in,History of mathematics and mathematicians
03A05,03,03Axx,"Philosophical and critical aspects of logic and foundations {For philosophy of mathematics, see also 00A30}",Mathematical logic and foundations,Philosophical aspects of logic and foundations
03A10,03,03Axx,Logic in the philosophy of science,Mathematical logic and foundations,Philosophical aspects of logic and foundations
03A99,03,03Axx,"None of the above, but in this section",Mathematical logic and foundations,Philosophical aspects of logic and foundations
03B05,03,03Bxx,Classical propositional logic,Mathematical logic and foundations,General logic
03B10,03,03Bxx,Classical first-order logic,Mathematical logic and foundations,General logic
03B16,03,03Bxx,Higher-order logic,Mathematical logic and foundations,General logic
03B20,03,03Bxx,Subsystems of classical logic (including intuitionistic logic),Mathematical logic and foundations,General logic
03B22,03,03Bxx,Abstract deductive systems,Mathematical logic and foundations,General logic
03B25,03,03Bxx,"Decidability of theories and sets of sentences [See also 11U05, 12L05, 20F10]",Mathematical logic and foundations,General logic
03B30,03,03Bxx,Foundations of classical theories (including reverse mathematics) [See also 03F35],Mathematical logic and foundations,General logic
03B35,03,03Bxx,Mechanization of proofs and logical operations [See also 68V15],Mathematical logic and foundations,General logic
03B38,03,03Bxx,Type theory,Mathematical logic and foundations,General logic
03B40,03,03Bxx,Combinatory logic and lambda calculus [See also 68N18],Mathematical logic and foundations,General logic
03B42,03,03Bxx,Logics of knowledge and belief (including belief change),Mathematical logic and foundations,General logic
03B44,03,03Bxx,Temporal logic,Mathematical logic and foundations,General logic
03B45,03,03Bxx,"Modal logic (including the logic of norms) {For knowledge and belief, see 03B42; for temporal logic, see",Mathematical logic and foundations,General logic
03B47,03,03Bxx,"Substructural logics (including relevance, entailment, linear logic, Lambek calculus, BCK and BCI logics)",Mathematical logic and foundations,General logic
03B48,03,03Bxx,Probability and inductive logic [See also 60A05],Mathematical logic and foundations,General logic
03B50,03,03Bxx,Many-valued logic,Mathematical logic and foundations,General logic
03B52,03,03Bxx,"Fuzzy logic; logic of vagueness [See also 68T27, 68T37, 94D05]",Mathematical logic and foundations,General logic
03B53,03,03Bxx,Paraconsistent logics,Mathematical logic and foundations,General logic
03B55,03,03Bxx,Intermediate logics,Mathematical logic and foundations,General logic
03B60,03,03Bxx,Other nonclassical logic,Mathematical logic and foundations,General logic
03B62,03,03Bxx,Combined logics,Mathematical logic and foundations,General logic
03B65,03,03Bxx,"Logic of natural languages [See also 68T50, 91F20]",Mathematical logic and foundations,General logic
03B70,03,03Bxx,Logic in computer science [See also 68-XX],Mathematical logic and foundations,General logic
03B80,03,03Bxx,Other applications of logic,Mathematical logic and foundations,General logic
03B99,03,03Bxx,"None of the above, but in this section",Mathematical logic and foundations,General logic
03C05,03,03Cxx,"Equational classes, universal algebra in model theory [See also 08Axx, 08Bxx, 18C05]",Mathematical logic and foundations,Model theory
03C07,03,03Cxx,Basic properties of first-order languages and structures,Mathematical logic and foundations,Model theory
03C10,03,03Cxx,"Quantifier elimination, model completeness, and related topics",Mathematical logic and foundations,Model theory
03C13,03,03Cxx,"Model theory of finite structures [See also 68Q15, 68Q19]",Mathematical logic and foundations,Model theory
03C15,03,03Cxx,Model theory of denumerable and separable structures,Mathematical logic and foundations,Model theory
03C20,03,03Cxx,Ultraproducts and related constructions,Mathematical logic and foundations,Model theory
03C25,03,03Cxx,Model-theoretic forcing,Mathematical logic and foundations,Model theory
03C30,03,03Cxx,Other model constructions,Mathematical logic and foundations,Model theory
03C35,03,03Cxx,Categoricity and completeness of theories,Mathematical logic and foundations,Model theory
03C40,03,03Cxx,"Interpolation, preservation, definability",Mathematical logic and foundations,Model theory
03C45,03,03Cxx,"Classification theory, stability, and related concepts in model theory [See also 03C48]",Mathematical logic and foundations,Model theory
03C48,03,03Cxx,Abstract elementary classes and related topics [See also 03C45],Mathematical logic and foundations,Model theory
03C50,03,03Cxx,"Models with special properties (saturated, rigid, etc.)",Mathematical logic and foundations,Model theory
03C52,03,03Cxx,Properties of classes of models,Mathematical logic and foundations,Model theory
03C55,03,03Cxx,Set-theoretic model theory,Mathematical logic and foundations,Model theory
03C57,03,03Cxx,"Computable structure theory, computable model theory [See also 03D45]",Mathematical logic and foundations,Model theory
03C60,03,03Cxx,"Model-theoretic algebra [See also 08C10, 12Lxx, 13L05]",Mathematical logic and foundations,Model theory
03C62,03,03Cxx,Models of arithmetic and set theory [See also 03Hxx],Mathematical logic and foundations,Model theory
03C64,03,03Cxx,Model theory of ordered structures; o-minimality,Mathematical logic and foundations,Model theory
03C65,03,03Cxx,Models of other mathematical theories,Mathematical logic and foundations,Model theory
03C66,03,03Cxx,"Continuous model theory, model theory of metric structures",Mathematical logic and foundations,Model theory
03C68,03,03Cxx,Other classical first-order model theory,Mathematical logic and foundations,Model theory
03C70,03,03Cxx,Logic on admissible sets,Mathematical logic and foundations,Model theory
03C75,03,03Cxx,Other infinitary logic,Mathematical logic and foundations,Model theory
03C80,03,03Cxx,"Logic with extra quantifiers and operators [See also 03B42, 03B44, 03B45, 03B48]",Mathematical logic and foundations,Model theory
03C85,03,03Cxx,Second- and higher-order model theory,Mathematical logic and foundations,Model theory
03C90,03,03Cxx,"Nonclassical models (Boolean-valued, sheaf, etc.)",Mathematical logic and foundations,Model theory
03C95,03,03Cxx,Abstract model theory,Mathematical logic and foundations,Model theory
03C98,03,03Cxx,Applications of model theory [See also 03C60],Mathematical logic and foundations,Model theory
03C99,03,03Cxx,"None of the above, but in this section",Mathematical logic and foundations,Model theory
03D03,03,03Dxx,"Thue and Post systems, etc.",Mathematical logic and foundations,Computability and recursion theory
