code,l1,desc
00Axx,00,General and miscellaneous specific topics
00Bxx,00,Conference proceedings and collections of articles
01Axx,01,History of mathematics and mathematicians
03Axx,03,Philosophical aspects of logic and foundations
03Bxx,03,General logic
03Cxx,03,Model theory
03Dxx,03,Computability and recursion theory
03Exx,03,Set theory
03Fxx,03,Proof theory and constructive mathematics
03Gxx,03,Algebraic logic
03Hxx,03,Nonstandard models [See also 03C62]
05Axx,05,"Enumerative combinatorics {For enumeration in graph theory, see 05C30}"
05Bxx,05,"Designs and configurations {For applications of design theory, see 94C30}"
05Cxx,05,"Graph theory {For computer science, see 68R10}"
05Dxx,05,Extremal combinatorics
05Exx,05,Algebraic combinatorics
06Axx,06,Ordered sets
06Bxx,06,Lattices [See also 03G10]
06Cxx,06,"Modular lattices, complemented lattices"
06Dxx,06,Distributive lattices
06Exx,06,Boolean algebras (Boolean rings) [See also 03G05]
06Fxx,06,Ordered structures
08Axx,08,Algebraic structures [See also 03C05]
08Bxx,08,Varieties [See also 03C05]
08Cxx,08,Other classes of algebras
11Axx,11,"Elementary number theory {For analogues in number fields, see 11R04}"
11Bxx,11,Sequences and sets
11Cxx,11,Polynomials and matrices
11Dxx,11,"Diophantine equations [See also 11Gxx, 14Gxx]"
11Exx,11,Forms and linear algebraic groups [See also 19Gxx] {For quadratic forms in
11Fxx,11,"Discontinuous groups and automorphic forms [See also 11R39, 11S37, 14Gxx,"
11Gxx,11,"Arithmetic algebraic geometry (Diophantine geometry) [See also 11Dxx, 14Gxx,"
11Hxx,11,"Geometry of numbers {For applications in coding theory, see 94B75}"
11Jxx,11,"Diophantine approximation, transcendental number theory [See also 11K60]"
11Kxx,11,Probabilistic theory: distribution modulo 1; metric theory of algorithms
11Lxx,11,"Exponential sums and character sums {For finite fields, see 11Txx}"
11Mxx,11,Zeta and L-functions: analytic theory
11Nxx,11,Multiplicative number theory
11Pxx,11,Additive number theory; partitions
11Rxx,11,"Algebraic number theory: global fields {For complex multiplication, see 11G15}"
11Sxx,11,Algebraic number theory: local fields
11Txx,11,Finite fields and commutative rings (number-theoretic aspects)
11Uxx,11,Connections of number theory and logic
11Yxx,11,"Computational number theory {For software etc., see 11-04} [See also 68W30]"
11Zxx,11,Miscellaneous applications of number theory
12Dxx,12,Real and complex fields
12Exx,12,General field theory
12Fxx,12,Field extensions
12Gxx,12,Homological methods (field theory)
12Hxx,12,Differential and difference algebra
12Jxx,12,Topological fields
12Kxx,12,Generalizations of fields
12Lxx,12,Connections between field theory and logic
13Axx,13,General commutative ring theory
13Bxx,13,Commutative ring extensions and related topics
13Cxx,13,Theory of modules and ideals in commutative rings
13Dxx,13,"Homological methods in commutative ring theory {For noncommutative rings,"
13Exx,13,"Chain conditions, finiteness conditions in commutative ring theory"
13Fxx,13,Arithmetic rings and other special commutative rings
13Gxx,13,Integral domains
13Hxx,13,Local rings and semilocal rings
13Jxx,13,"Topological rings and modules [See also 16W60, 16W80]"
13Lxx,13,"Applications of logic to commutative algebra [See also 03Cxx, 03Hxx]"
13Mxx,13,"Finite commutative rings {For number-theoretic aspects, see 11Txx}"
13Nxx,13,"Differential algebra [See also 12H05, 14F10]"
13Pxx,13,"Computational aspects and applications of commutative rings [See also 14Qxx,"
14Axx,14,Foundations of algebraic geometry
14Bxx,14,Local theory in algebraic geometry
14Cxx,14,Cycles and subschemes
14Dxx,14,"Families, fibrations in algebraic geometry"
14Exx,14,Birational geometry
14Fxx,14,(Co)homology theory in algebraic geometry [See also 13Dxx]
14Gxx,14,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14Hxx,14,Curves in algebraic geometry
14Jxx,14,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14Kxx,14,Abelian varieties and schemes
